year,level,state,state_code,district,total_votes,candidate,party,votes,percentage,winner,incumbent,open_seat
2000,house,California,CA,46,120875,Richard Boddie,Libertarian,,2.7,False,False,False
2000,house,California,CA,46,120875,Larry Engwall,Natural Law,2440,2.0,False,False,False
2000,house,California,CA,47,290552,Christopher Cox,Republican,181365,65.7,True,True,False
2000,house,California,CA,47,290552,John Graham,Democratic,83186,30.1,False,False,False
2000,house,California,CA,47,290552,David Nolan,Libertarian,,2.9,False,False,False
2000,house,California,CA,47,290552,Iris Adam,Natural Law,3769,1.3,False,False,False
2000,house,California,CA,48,282502,Darrell Issa,Republican,160627,61.5,True,False,True
2000,house,California,CA,48,282502,Peter Kouvelis,Democratic,74073,28.4,False,False,True
2000,house,California,CA,48,282502,Eddie Rose,Reform,11240,4.3,False,False,True
2000,house,California,CA,48,282502,Sharon Miles,Natural Law,,3.1,False,False,True
2000,house,California,CA,48,282502,Joe Michael Cobb,Libertarian,7269,2.7,False,False,True
2000,house,California,CA,49,240294,Susan Davis,Democratic,113400,49.7,True,False,False
2000,house,California,CA,49,240294,Brian Bilbray,Republican,105515,46.2,False,True,False
2000,house,California,CA,49,240294,Doris Ball,Libertarian,6526,2.8,False,False,False
2000,house,California,CA,49,240294,Tahir Bhatti,Natural Law,,1.3,False,False,False
2000,house,California,CA,50,149005,Bob Filner,Democratic,95191,68.3,True,True,False
2000,house,California,CA,50,149005,Bob Divine,Republican,38526,27.7,False,False,False
2000,house,California,CA,50,149005,David Willoughby,Libertarian,,2.4,False,False,False
2000,house,California,CA,50,149005,LeeAnn Kendall,Natural Law,,1.6,False,False,False
2000,house,California,CA,51,289426,Duke Cunningham,Republican,172291,64.4,True,True,False
2000,house,California,CA,51,289426,George Jorge Barraza,Democratic,81408,30.4,False,False,False
2000,house,California,CA,51,289426,Daniel L. Muhe,Libertarian,7159,2.7,False,False,False
2000,house,California,CA,51,289426,Eric Hunter Bourdette,Natural Law,6941,2.5,False,False,False
2000,house,California,CA,52,216356,Duncan L. Hunter,Republican,,64.8,True,True,False
2000,house,California,CA,52,216356,Craig Barkacs,Democratic,63537,31.3,False,False,False
2000,house,California,CA,52,216356,Michael Benoit,Libertarian,5995,2.9,False,False,False
2000,house,California,CA,52,216356,Robert Sherman,Natural Law,,1.0,False,False,False
2000,house,Colorado,CO,1,206434,Diana DeGette,Democratic,141831,68.7,True,True,False
2000,house,Colorado,CO,1,206434,Jesse Thomas,Republican,,27.3,False,False,False
2000,house,Colorado,CO,1,206434,Richard Combs,Libertarian,5852,2.8,False,False,False
2000,house,Colorado,CO,1,206434,Lyle Nasser,Reform,2452,1.2,False,False,False
2000,house,Colorado,CO,2,283116,Mark Udall,Democratic,155725,55.0,True,True,False
2000,house,Colorado,CO,2,283116,Carolyn Cox,Republican,109338,38.6,False,False,False
2000,house,Colorado,CO,2,283116,Ron Forthofer,Green,,4.4,False,False,False
2000,house,Colorado,CO,2,283116,David M. Baker,Libertarian,,2.0,False,False,False
2000,house,Colorado,CO,3,302540,Scott McInnis,Republican,199204,65.8,True,True,False
2000,house,Colorado,CO,3,302540,Curtis Imrie,Democratic,87921,29.0,False,False,False
2000,house,Colorado,CO,3,302540,Drew Sakson,Libertarian,9982,3.3,False,False,False
2000,house,Colorado,CO,3,302540,Victor Good,Reform,,1.8,False,False,False
2000,house,Colorado,CO,4,263006,Bob Schaffer,Republican,209078,79.5,True,True,False
2000,house,Colorado,CO,4,263006,Dan Sewell Ward,Natural Law,19721,7.5,False,False,False
2000,house,Colorado,CO,4,263006,Kordon Baker,Libertarian,19713,7.5,False,False,False
2000,house,Colorado,CO,4,263006,Leslie J. Hanks,Constitution,,3.8,False,False,False
2000,house,Colorado,CO,5,306309,Joel Hefley,Republican,253330,82.7,True,True,False
