state,state_code,district,district_note,at_large,map_vintage,is_current_map,years_used,n_years,d_share_mean,national_d_share_mean,pvi_pct,pvi_label,total_votes_mean,counties_whole,counties_partial,votes_from_partial_pct_max
California,CA,CA-41,,False,2020s,True,2024,1,49.35,49.25,-0.11,R+0.1,173227,0,1,100.0
California,CA,CA-42,,False,2000s,False,2004+2008+2012,3,47.93,51.5,-3.22,R+3.2,311863,0,3,100.0
California,CA,CA-42,,False,2010s,False,2016+2020,2,53.46,51.71,0.17,D+0.2,114342,0,1,100.0
California,CA,CA-42,,False,2020s,True,2024,1,67.01,49.25,18.27,D+18.3,195083,0,1,100.0
California,CA,CA-43,,False,2000s,False,2004+2008+2012,3,50.35,51.5,3.92,D+3.9,5702,0,1,100.0
California,CA,CA-43,,False,2010s,False,2016+2020,2,74.38,51.71,22.8,D+22.8,69219,0,1,100.0
California,CA,CA-43,,False,2020s,True,2024,1,67.01,49.25,20.58,D+20.6,67529,0,1,100.0
California,CA,CA-44,,False,2000s,False,2004+2008+2012,3,45.37,51.5,-2.49,R+2.5,247365,0,2,100.0
California,CA,CA-44,,False,2010s,False,2016+2020,2,74.38,51.71,22.67,D+22.7,76910,0,1,100.0
California,CA,CA-44,,False,2020s,True,2024,1,67.01,49.25,19.35,D+19.4,86287,0,1,100.0
California,CA,CA-45,,False,2000s,False,2004+2008+2012,3,47.84,51.5,-2.8,R+2.8,516477,0,1,100.0
California,CA,CA-45,,False,2010s,False,2016+2020,2,54.6,51.71,2.99,D+3.0,568750,0,1,100.0
California,CA,CA-45,,False,2020s,True,2024,1,52.4,49.25,2.52,D+2.5,171415,0,2,100.0
California,CA,CA-46,,False,2000s,False,2004+2008+2012,3,58.28,51.5,3.97,D+4.0,254564,0,2,100.0
California,CA,CA-46,,False,2010s,False,2016+2020,2,54.6,51.71,5.54,D+5.5,124116,0,1,100.0
California,CA,CA-46,,False,2020s,True,2024,1,51.37,49.25,6.27,D+6.3,130914,0,1,100.0
California,CA,CA-47,,False,2000s,False,2004+2008+2012,3,45.0,51.5,1.52,D+1.5,77090,0,1,100.0
California,CA,CA-47,,False,2010s,False,2016+2020,2,69.14,51.71,16.96,D+17.0,230578,0,2,100.0
California,CA,CA-47,,False,2020s,True,2024,1,51.37,49.25,2.28,D+2.3,306394,0,1,100.0
California,CA,CA-48,,False,2000s,False,2004+2008+2012,3,45.0,51.5,-4.34,R+4.3,299423,0,1,100.0
California,CA,CA-48,,False,2010s,False,2016+2020,2,54.6,51.71,2.23,D+2.2,252323,0,1,100.0
California,CA,CA-48,,False,2020s,True,2024,1,58.26,49.25,3.29,D+3.3,1178169,0,2,100.0
California,CA,CA-49,,False,2000s,False,2004+2008+2012,3,51.63,51.5,-1.1,R+1.1,397933,0,2,100.0
California,CA,CA-49,,False,2010s,False,2016+2020,2,57.52,51.71,5.33,D+5.3,340918,0,2,100.0
California,CA,CA-49,,False,2020s,True,2024,1,54.54,49.25,4.64,D+4.6,315722,0,2,100.0
California,CA,CA-50,,False,2000s,False,2004+2008+2012,3,51.99,51.5,-0.87,R+0.9,85432,0,1,100.0
California,CA,CA-50,,False,2010s,False,2016+2020,2,61.14,51.71,7.1,D+7.1,948185,0,1,100.0
California,CA,CA-50,,False,2020s,True,2024,1,58.65,49.25,11.41,D+11.4,94594,0,1,100.0
California,CA,CA-51,,False,2000s,False,2004+2008+2012,3,54.18,51.5,7.44,D+7.4,152316,1,1,76.3
California,CA,CA-51,,False,2010s,False,2016+2020,2,62.38,51.71,12.02,D+12.0,264740,1,1,80.5
California,CA,CA-51,,False,2020s,True,2024,1,58.65,49.25,10.21,D+10.2,66511,0,1,100.0
California,CA,CA-52,,False,2000s,False,2004+2008+2012,3,51.99,51.5,-0.5,R+0.5,595652,0,1,100.0
California,CA,CA-52,,False,2010s,False,2016+2020,2,61.14,51.71,9.7,D+9.7,93074,0,1,100.0
California,CA,CA-52,,False,2020s,True,2024,1,58.65,49.25,12.09,D+12.1,50253,0,1,100.0
California,CA,CA-53,,False,2000s,False,2004+2008+2012,3,51.99,51.5,5.64,D+5.6,27291,0,1,100.0
California,CA,CA-53,,False,2010s,False,2016+2020,2,61.14,51.71,9.43,D+9.4,47991,0,1,100.0
Colorado,CO,CO-01,,False,2000s,False,2004+2008+2012,3,73.68,51.5,17.63,D+17.6,276152,1,1,1.9
Colorado,CO,CO-01,,False,2010s,False,2016+2020,2,79.53,51.71,17.84,D+17.8,379296,0,3,100.0
Colorado,CO,CO-01,,False,2020s,True,2024,1,78.84,49.25,24.01,D+24.0,354348,0,1,100.0
Colorado,CO,CO-02,,False,2000s,False,2004+2008+2012,3,63.46,51.5,10.07,D+10.1,277071,6,3,71.7
Colorado,CO,CO-02,,False,2010s,False,2016+2020,2,61.92,51.71,8.51,D+8.5,733379,5,5,66.4
Colorado,CO,CO-02,,False,2020s,True,2024,1,67.18,49.25,16.24,D+16.2,502056,7,4,50.0
Colorado,CO,CO-03,,False,2000s,False,2004+2008+2012,3,46.45,51.5,-1.4,R+1.4,333347,28,1,2.1
Colorado,CO,CO-03,,False,2010s,False,2016+2020,2,45.41,51.71,-1.56,R+1.6,405440,28,1,4.6
Colorado,CO,CO-03,,False,2020s,True,2024,1,45.04,49.25,-0.54,R+0.5,408907,26,1,1.8
Colorado,CO,CO-04,,False,2000s,False,2004+2008+2012,3,46.39,51.5,-2.73,R+2.7,335431,16,2,6.0
Colorado,CO,CO-04,,False,2010s,False,2016+2020,2,48.4,51.71,-2.17,R+2.2,841870,18,5,71.6
Colorado,CO,CO-04,,False,2020s,True,2024,1,48.29,49.25,0.21,D+0.2,1008486,16,5,68.4
Colorado,CO,CO-05,,False,2000s,False,2004+2008+2012,3,37.79,51.5,-9.58,R+9.6,322083,5,1,2.7
Colorado,CO,CO-05,,False,2010s,False,2016+2020,2,40.01,51.71,-5.4,R+5.4,411376,4,1,2.6
Colorado,CO,CO-05,,False,2020s,True,2024,1,44.96,49.25,-1.74,R+1.7,263525,0,1,100.0
Colorado,CO,CO-06,,False,2000s,False,2004+2008+2012,3,48.2,51.5,-2.96,R+3.0,618045,2,3,75.8
